2026-07-08 18:13:10,3_0_0_2_1_1,4,3.5,3_0_1_2_0_1,0.05
2026-07-08 18:13:14,2_1_2_2_0_1,1,-7.5968,2_0_2_2_0_1,0.05
2026-07-08 18:13:15,2_1_0_2_0_1,5,-3.0,2_1_0_2_0_1,0.05
2026-07-08 18:13:16,2_1_2_2_0_1,1,9.5837,2_1_2_2_0_1,0.05
2026-07-08 18:13:17,3_0_1_2_0_1,0,-15.8101,2_1_1_2_0_1,0.05
2026-07-08 18:13:18,2_1_2_2_0_1,1,-64.3986,1_1_0_2_0_1,0.05
2026-07-08 18:13:19,2_1_1_2_0_1,0,16.2664,2_1_1_2_0_1,0.05
2026-07-08 18:13:19,2_0_2_2_0_1,1,-53.5143,2_1_1_2_0_1,0.05
2026-07-08 18:13:29,2_1_1_2_0_1,4,3.5,2_1_1_2_0_1,0.05
2026-07-08 18:13:31,2_1_1_2_0_1,0,-60.211,2_1_1_2_1_1,0.05
2026-07-08 18:13:32,2_1_1_2_1_1,0,-63.7337,1_1_1_2_1_1,0.05
2026-07-08 18:13:33,1_1_2_2_1_1,1,-84.1459,1_1_3_2_1_1,0.05
2026-07-08 18:13:33,1_1_0_2_1_1,5,-3.0,1_1_3_2_1_1,0.05
2026-07-08 18:13:36,1_1_3_2_1_1,0,-128.0237,0_0_5_0_1_1,0.05
2026-07-08 18:13:37,1_0_2_2_1_1,1,-167.5833,1_1_5_2_1_1,0.05
2026-07-08 18:13:39,1_0_4_2_1_1,4,3.5,1_0_0_2_1_1,0.05
2026-07-08 18:13:43,1_1_5_2_1_1,0,-162.8201,0_0_1_0_0_1,0.05
2026-07-08 18:13:43,1_0_2_2_0_1,1,-120.3417,1_1_3_2_0_1,0.05
2026-07-08 18:13:49,1_1_0_1_0_1,3,0.5,1_1_0_1_0_1,0.05
2026-07-08 18:13:50,1_1_0_1_0_1,3,0.5,1_1_0_1_0_1,0.05
2026-07-08 18:13:52,1_1_0_1_0_1,3,0.5,1_1_0_1_0_1,0.05
2026-07-08 18:13:53,1_1_3_2_0_1,0,-223.0057,1_1_1_1_0_1,0.05
2026-07-08 18:13:54,1_1_0_2_0_1,5,0.0,1_1_0_2_0_1,0.05
2026-07-08 18:13:55,1_1_1_1_0_1,0,16.2721,1_1_1_2_0_1,0.05
2026-07-08 18:13:57,1_1_1_2_0_1,0,-204.8375,0_0_1_0_0_1,0.05
2026-07-08 18:13:58,2_1_4_2_0_1,2,0.0,2_1_4_2_0_1,0.05
2026-07-08 18:13:58,2_1_1_1_0_1,0,16.281,2_1_1_2_0_1,0.05
2026-07-08 18:13:59,2_0_0_1_0_1,5,-1.0,2_0_0_2_0_1,0.05
2026-07-08 18:14:00,2_1_1_2_0_1,0,16.2767,2_0_1_2_1_1,0.05
2026-07-08 18:14:01,2_1_4_2_0_1,2,17.6901,1_1_4_2_1_1,0.05
2026-07-08 18:14:02,2_0_1_2_1_1,0,16.2541,1_1_1_2_1_1,0.05
2026-07-08 18:14:04,1_1_0_2_1_1,5,0.0,1_1_4_2_1_1,0.05
2026-07-08 18:14:04,1_1_4_2_1_1,2,-30.1474,1_1_4_2_1_1,0.05
2026-07-08 18:14:04,1_1_1_2_1_1,0,-3.7218,1_1_5_2_1_1,0.05
2026-07-08 18:14:07,1_1_5_2_1_1,2,-4.2132,1_1_5_2_1_1,0.05
2026-07-08 18:14:07,1_0_0_2_1_1,3,0.5,1_0_0_2_1_1,0.05
2026-07-08 18:14:10,1_1_1_2_1_1,0,10.6332,1_0_1_2_0_1,0.05
2026-07-08 18:14:11,1_1_5_2_1_1,2,-1.5534,1_0_5_2_0_1,0.05
2026-07-08 18:14:12,1_0_4_2_0_1,4,3.5,1_0_5_2_0_1,0.05
2026-07-08 18:14:16,1_0_2_1_0_1,1,18.3003,0_0_2_0_0_1,0.05
2026-07-08 18:14:19,1_1_2_2_0_1,1,0.0,0_0_2_0_0_1,0.05
2026-07-08 18:14:20,1_0_5_2_0_1,0,-50.075,0_0_1_0_0_1,0.05
2026-07-08 18:14:21,1_1_2_2_0_1,1,-27.1784,0_0_0_0_0_1,0.05
2026-07-08 18:14:21,1_0_1_2_0_1,0,-25.2556,1_1_1_2_0_1,0.05
2026-07-08 18:14:23,1_1_1_2_0_1,4,3.5,1_1_1_2_0_1,0.05
2026-07-08 18:14:25,1_1_1_2_0_1,0,16.2784,1_1_1_2_0_1,0.05
2026-07-08 18:14:29,1_1_3_2_0_1,1,16.6279,0_0_3_0_0_1,0.05
2026-07-08 18:15:04,2_1_0_2_1_1,4,3.5,2_1_0_2_1_1,0.05
2026-07-08 18:15:04,2_0_1_2_1_1,0,16.2785,2_1_1_2_1_1,0.05
2026-07-08 18:15:06,2_1_1_2_1_1,0,16.2794,2_1_3_2_1_1,0.05
2026-07-08 18:15:07,2_1_2_2_1_1,1,18.2964,1_1_2_2_1_1,0.05
2026-07-08 18:15:10,1_1_0_2_1_1,5,-3.0,1_1_2_2_1_1,0.05
2026-07-08 18:15:10,2_1_3_2_1_1,0,-10.4591,1_0_1_2_0_1,0.05
2026-07-08 18:15:11,1_1_2_2_0_1,1,-35.0677,1_1_0_2_0_1,0.05
2026-07-08 18:15:12,1_0_1_2_0_1,0,7.3513,1_1_1_2_0_1,0.05
